Date,Close,Volume
07-06-17,68.57,21117572
07-07-17,69.46,16878317
07-10-17,69.98,15014503
07-11-17,69.99,17460022
07-12-17,71.15,17750925
7/13/2017 16:00:00,71.77,20269816
7/14/2017 16:00:00,72.78,25868086
7/17/2017 16:00:00,73.35,21803907
7/18/2017 16:00:00,73.3,26435296
7/19/2017 16:00:00,73.86,22416222
7/20/2017 16:00:00,74.22,42361025
7/21/2017 16:00:00,73.79,46717082
7/24/2017 16:00:00,73.6,21394826
7/25/2017 16:00:00,74.19,22018681
7/26/2017 16:00:00,74.05,16252233
7/27/2017 16:00:00,73.16,36844220
7/28/2017 16:00:00,73.04,18306680
7/31/2017 16:00:00,72.7,23600054
08-01-17,72.58,20823890
08-02-17,72.26,26499158
08-03-17,72.15,18214424
08-04-17,72.68,22578952
08-07-17,72.4,18705681
08-08-17,72.79,22044587
08-09-17,72.47,22213410
08-10-17,71.41,24734461
08-11-17,72.5,21443675
8/14/2017 16:00:00,73.59,20096592
8/15/2017 16:00:00,73.22,19181402
8/16/2017 16:00:00,73.65,18150402
8/17/2017 16:00:00,72.4,22977519
8/18/2017 16:00:00,72.49,18761491
8/21/2017 16:00:00,72.15,17734767
8/22/2017 16:00:00,73.16,14343674
8/23/2017 16:00:00,72.72,13766507
8/24/2017 16:00:00,72.69,17098282
8/25/2017 16:00:00,72.82,12794301
8/28/2017 16:00:00,72.83,14569715
8/29/2017 16:00:00,73.05,11478382
8/30/2017 16:00:00,74.01,16897801
8/31/2017 16:00:00,74.77,27652811
09-01-17,73.94,21736161
09-05-17,73.61,22242384
09-06-17,73.4,16535785
09-07-17,74.34,17471200
09-08-17,73.98,14703816
09-11-17,74.76,17910383
09-12-17,74.68,14394850
9/13/2017 16:00:00,75.21,13380802
9/14/2017 16:00:00,74.77,15733914
9/15/2017 16:00:00,75.31,38578441
9/18/2017 16:00:00,75.16,23306959
9/19/2017 16:00:00,75.44,16093344
9/20/2017 16:00:00,74.94,21587878
9/21/2017 16:00:00,74.21,19186140
9/22/2017 16:00:00,74.41,14111365
9/25/2017 16:00:00,73.26,24149163
9/26/2017 16:00:00,73.26,18019577
9/27/2017 16:00:00,73.85,19565135
9/28/2017 16:00:00,73.87,10883787
9/29/2017 16:00:00,74.49,17079114
10-02-17,74.61,15304762
10-03-17,74.26,12190403
10-04-17,74.69,13317681
10-05-17,75.97,21195261
10-06-17,76,13959814
10-09-17,76.29,11386502
10-10-17,76.29,13944545
10-11-17,76.42,15388898
10-12-17,77.12,16876538
10/13/2017 16:00:00,77.49,15335742
10/16/2017 16:00:00,77.65,12380093
10/17/2017 16:00:00,77.59,16823989
10/18/2017 16:00:00,77.61,13300701
10/19/2017 16:00:00,77.91,15092758
10/20/2017 16:00:00,78.81,22866426
10/23/2017 16:00:00,78.83,20627173
10/24/2017 16:00:00,78.86,17517182
10/25/2017 16:00:00,78.63,20410808
10/26/2017 16:00:00,78.76,32120717
10/27/2017 16:00:00,83.81,71066729
10/30/2017 16:00:00,83.89,31756653
10/31/2017 16:00:00,83.18,27086575
11-01-17,83.18,22307371
11-02-17,84.05,23992945
11-03-17,84.14,17633543
11-06-17,84.47,19860852
11-07-17,84.27,17939727
11-08-17,84.56,18034170
11-09-17,84.09,21178356
11-10-17,83.87,19397793
11/13/2017 16:00:00,83.93,14196896
11/14/2017 16:00:00,84.05,18801280
11/15/2017 16:00:00,82.98,19383102
11/16/2017 16:00:00,83.2,20962750
11/17/2017 16:00:00,82.4,22078993
11/20/2017 16:00:00,82.53,16314978
11/21/2017 16:00:00,83.72,21237454
11/22/2017 16:00:00,83.11,20553089
11/24/2017 13:00:00,83.26,7425603
11/27/2017 16:00:00,83.87,18265242
11/28/2017 16:00:00,84.88,21925959
11/29/2017 16:00:00,83.34,27381109
11/30/2017 16:00:00,84.17,33054647
12-01-17,84.26,29532132
12-04-17,81.08,39094880
12-05-17,81.59,26152261
12-06-17,82.78,26162054
12-07-17,82.49,23184547
12-08-17,84.16,24489106
12-11-17,85.23,22857854
12-12-17,85.58,23924105
12/13/2017 16:00:00,85.35,22062679
12/14/2017 16:00:00,84.69,19305961
12/15/2017 16:00:00,86.85,53936687
12/18/2017 16:00:00,86.38,22283752
12/19/2017 16:00:00,85.83,23524787
12/20/2017 16:00:00,85.52,23674931
12/21/2017 16:00:00,85.5,17990745
12/22/2017 16:00:00,85.51,14145841
12/26/2017 16:00:00,85.4,9891237
12/27/2017 16:00:00,85.71,14678025
12/28/2017 16:00:00,85.72,10594344
12/29/2017 16:00:00,85.54,18717406
01-02-18,85.95,22483797
01-03-18,86.35,26061439
01-04-18,87.11,21911974
01-05-18,88.19,23407110
